Destination,Source,Length,Source End
2256462238,272868806,222756596,495625402
2883874475,1945255196,178320531,2123575727
1025753868,1262393928,220069640,1482463568
2780673998,2532762404,101990486,2634752890
222030751,1026223684,236170244,1262393928
828766276,1895857025,35481787,1931338812
3755107810,3521770115,3468846,3525238961
2048518620,2246637941,74827173,2321465114
550785854,2716185082,5650779,2721835861
1819399513,252684903,20183903,272868806
4134370427,3177062502,147573242,3324635744
1893363918,2365324803,45336497,2410661300
458200995,495625402,92584859,588210261
3472537931,3557968177,35060837,3593029014
122101104,2962265359,99929647,3062195006
2192091098,2172374449,64371140,2236745589
3538267850,3324635744,184110744,3508746488
3758576656,3169743127,7319375,3177062502
0,2410661300,122101104,2532762404
4281943669,3508746488,13023627,3521770115
1849504229,2321465114,43859689,2365324803
3722378594,3525238961,32729216,3557968177
1245823508,588210261,161392539,749602800
878164447,2814675938,147589421,2962265359
864248063,1931338812,13916384,1945255196
1938700415,749602800,109818205,859421005
2123345793,2745930633,68745305,2814675938
3765896031,3826310364,218680395,4044990759
747334084,2634752890,78853599,2713606489
3984576426,4075659841,149794001,4225453842
2882664484,1482463568,1209991,1483673559
723239312,2721835861,24094772,2745930633
3169743127,3593029014,233281350,3826310364
1839583416,252656442,28461,252684903
2479218834,0,252656442,252656442
3507598768,4044990759,30669082,4075659841
826187683,2713606489,2578593,2716185082
1839611877,2236745589,9892352,2246637941
556436633,859421005,166802679,1026223684
3403024477,4225453842,69513454,4294967296
2731875276,2123575727,48798722,2172374449
1407216047,1483673559,412183466,1895857025
