Destination,Source,Length,Source End
2717406339,2056643664,131336656,2187980320
2149066749,0,164219220,164219220
3368552624,3554596203,347071357,3901667560
648177882,2187980320,58382041,2246362361
2313285969,387274540,87651626,474926166
1956244903,880459831,74655597,955115428
630498803,2299352502,17679079,2317031581
2030900500,1938477415,118166249,2056643664
2958998106,3901667560,109063910,4010731470
0,2317031581,376289577,2693321158
1862852214,809822482,58007210,867829692
3962172007,3368255348,186340855,3554596203
1920859424,164219220,35385479,199604699
829057433,474926166,334896316,809822482
2848742995,867829692,12630139,880459831
3068062016,3067764740,300490608,3368255348
2628314327,1849385403,89092012,1938477415
1363807094,955115428,499045120,1454160548
441461908,1660348508,189036895,1849385403
1195755118,2693321158,168051976,2861373134
706559923,199604699,122497510,322102209
3824390615,4010731470,137781392,4148512862
2400937595,2246362361,21188772,2267551133
3715623981,2958998106,108766634,3067764740
1163953749,2267551133,31801369,2299352502
2422126367,1454160548,206187960,1660348508
376289577,322102209,65172331,387274540
